Latitude,Longitude,Metric population,Building Id,Nearest Store,Distance to Nearest Store (km)
50.4359763,30.62564575,1.96,1,Store 84,1.372
50.43518455,30.62610625,1.95,2,Store 84,1.286
50.43638055,30.6260375,1.7,3,Store 84,1.385
50.436152917,30.626818146,2.09,4,Store 84,1.329
50.435430167,30.626639996,2.13,5,Store 84,1.279
50.436317735,30.627875403,2.03,6,Store 84,1.296
50.437002848,30.628559412,2.1,7,Store 84,1.328
50.436545616,30.629810679,2.41,8,Store 84,1.237
50.4374171,30.6254323,2.07,9,Store 84,1.5
50.4381511,30.62561925,2.11,10,Store 35,1.548
50.43837935,30.62484095,1.77,11,Store 35,1.542
50.4379766,30.6244239,1.99,12,Store 35,1.594
50.437203271,30.624909542,2.01,13,Store 84,1.507
50.438543398,30.628640125,2.39,14,Store 35,1.453
50.438278847,30.626685597,2.01,15,Store 35,1.512
50.437831748,30.627378863,2.15,16,Store 84,1.452
50.437657689,30.628165554,1.99,17,Store 84,1.404
50.438633552,30.627559328,2.1,18,Store 35,1.459
50.439325437,30.625926892,2.49,19,Store 35,1.417
50.440919803,30.626322636,2.74,20,Store 35,1.24
50.433904746,30.628194499,1.96,21,Store 84,1.081
50.433040809,30.628146828,2.19,22,Store 84,1.02
50.43263235,30.62769275,1.86,23,Store 84,1.017
50.433258,30.6273035,1.79,24,Store 84,1.081
50.433944,30.6268593,1.76,25,Store 84,1.154
50.434699564,30.626818287,0.77,26,Store 84,1.213
50.434321848,30.627643012,1.66,27,Store 84,1.141
50.4398164,30.6139504,1.86,28,Store 73,1.527
50.441104551,30.614374797,1.97,29,Store 73,1.564
50.440430643,30.612324442,2.03,30,Store 73,1.414
50.441137,30.6121972,1.94,31,Store 73,1.411
50.441307118,30.612805533,1.95,32,Store 73,1.456
50.44147985,30.61339205,1.93,33,Store 73,1.5
50.441702786,30.611559816,2.01,34,Store 73,1.375
50.44218185,30.61366195,1.94,35,Store 73,1.531
50.43617065,30.62905755,2.05,36,Store 84,1.232
50.4355274,30.6301422,1.95,37,Store 84,1.129
50.434718462,30.630933801,2.36,38,Store 84,1.024
50.434576473,30.630007773,2.1,39,Store 84,1.05
50.439455898,30.627809796,1.96,40,Store 35,1.366
50.440102633,30.62764859,2.1,41,Store 35,1.299
50.4402232,30.62662815,1.98,42,Store 35,1.306
50.440279151,30.625460615,2.02,43,Store 35,1.329
50.44073025,30.6244229,1.94,44,Store 35,1.312
50.44050995,30.62377075,1.96,45,Store 35,1.354
50.44031035,30.62306125,1.87,46,Store 35,1.397
50.4397,30.62344165,1.97,47,Store 35,1.445
50.44068825,30.62180365,1.97,48,Store 35,1.405
50.441146311,30.623255588,2.26,49,Store 35,1.309
50.442325836,30.611193284,1.74,50,Store 73,1.362
50.442963236,30.610797216,1.98,51,Store 73,1.352
50.443660866,30.610672952,1.96,52,Store 73,1.366
50.443802593,30.61117794,1.93,53,Store 89,1.388
50.443948968,30.611745849,1.95,54,Store 89,1.402
50.443573276,30.612694258,1.95,55,Store 89,1.478
50.444662625,30.611956207,1.97,56,Store 89,1.355
50.445626619,30.61114084,2.27,57,Store 89,1.239
50.445240169,30.609594659,2.25,58,Store 89,1.193
50.44423355,30.61003865,1.97,59,Store 89,1.299
50.433645163,30.630556714,2.04,60,Store 84,0.945
50.435650475,30.631913389,2.01,61,Store 84,1.075
50.440223956,30.620224494,2.31,62,Store 35,1.51
50.439769083,30.618753787,2.12,63,Store 35,1.612
50.439422025,30.617783088,1.89,64,Store 35,1.684
50.439242045,30.61723362,1.91,65,Store 35,1.724
50.439067955,30.61665618,1.86,66,Store 73,1.72
50.43862164,30.617334205,2.43,67,Store 73,1.771
50.438485684,30.630189948,2.06,68,Store 84,1.411
50.439177581,30.62975981,2.08,69,Store 35,1.371
50.438461367,30.631230271,1.88,70,Store 84,1.377
50.43870815,30.63224725,2.04,71,Store 84,1.374
50.437267062,30.630877685,2.34,72,Store 84,1.268
50.437720762,30.631752999,1.98,73,Store 84,1.287
50.4379227,30.6326287,2.17,74,Store 84,1.283
50.4365846,30.631793401,2.23,75,Store 84,1.171
50.440135376,30.616106154,2.31,76,Store 73,1.68
