Latitude,Longitude,Metric population
50.435976300,30.625645750,1.96
50.435184550,30.626106250,1.95
50.436380550,30.626037500,1.70
50.436152917,30.626818146,2.09
50.435430167,30.626639996,2.13
50.436317735,30.627875403,2.03
50.437002848,30.628559412,2.10
50.436545616,30.629810679,2.41
50.437417100,30.625432300,2.07
50.438151100,30.625619250,2.11
50.438379350,30.624840950,1.77
50.437976600,30.624423900,1.99
50.437203271,30.624909542,2.01
50.438543398,30.628640125,2.39
50.438278847,30.626685597,2.01
50.437831748,30.627378863,2.15
50.437657689,30.628165554,1.99
50.438633552,30.627559328,2.10
50.439325437,30.625926892,2.49
50.440919803,30.626322636,2.74
50.433904746,30.628194499,1.96
50.433040809,30.628146828,2.19
50.432632350,30.627692750,1.86
50.433258000,30.627303500,1.79
50.433944000,30.626859300,1.76
50.434699564,30.626818287,0.77
50.434321848,30.627643012,1.66
50.439816400,30.613950400,1.86
50.441104551,30.614374797,1.97
50.440430643,30.612324442,2.03
50.441137000,30.612197200,1.94
50.441307118,30.612805533,1.95
50.441479850,30.613392050,1.93
50.441702786,30.611559816,2.01
50.442181850,30.613661950,1.94
50.436170650,30.629057550,2.05
50.435527400,30.630142200,1.95
50.434718462,30.630933801,2.36
50.434576473,30.630007773,2.10
50.439455898,30.627809796,1.96
50.440102633,30.627648590,2.10
50.440223200,30.626628150,1.98
50.440279151,30.625460615,2.02
50.440730250,30.624422900,1.94
50.440509950,30.623770750,1.96
50.440310350,30.623061250,1.87
50.439700000,30.623441650,1.97
50.440688250,30.621803650,1.97
50.441146311,30.623255588,2.26
50.442325836,30.611193284,1.74
50.442963236,30.610797216,1.98
50.443660866,30.610672952,1.96
50.443802593,30.611177940,1.93
50.443948968,30.611745849,1.95
50.443573276,30.612694258,1.95
50.444662625,30.611956207,1.97
50.445626619,30.611140840,2.27
50.445240169,30.609594659,2.25
50.444233550,30.610038650,1.97
50.433645163,30.630556714,2.04
50.435650475,30.631913389,2.01
50.440223956,30.620224494,2.31
50.439769083,30.618753787,2.12
50.439422025,30.617783088,1.89
50.439242045,30.617233620,1.91
50.439067955,30.616656180,1.86
50.438621640,30.617334205,2.43
50.438485684,30.630189948,2.06
50.439177581,30.629759810,2.08
50.438461367,30.631230271,1.88
50.438708150,30.632247250,2.04
50.437267062,30.630877685,2.34
50.437720762,30.631752999,1.98
50.437922700,30.632628700,2.17
50.436584600,30.631793401,2.23
50.440135376,30.616106154,2.31
50.440970260,30.615211408,1.98
50.441445190,30.615628055,1.98
50.441321021,30.616437710,2.00
50.441442262,30.617113906,2.11
50.440691255,30.617620271,2.15
50.441306612,30.620145025,2.32
50.442258100,30.619751050,2.03
50.442432606,30.620358307,1.92
50.443137126,30.620329939,2.00
50.442906192,30.622542272,2.05
50.442444179,30.624002863,2.35
50.442729013,30.621101864,1.72
50.442111600,30.621509050,1.75
50.444716600,30.613914000,1.80
50.445155475,30.612572409,2.34
50.444252050,30.612989300,1.96
50.443723350,30.613664450,1.92
50.443052451,30.613802444,1.98
50.443214261,30.614458856,1.95
50.441813132,30.614691238,2.07
50.441964000,30.615306950,2.01
50.442121350,30.615938650,1.97
50.442492650,30.614531750,2.00
50.442728911,30.615203456,1.84
50.443391338,30.615083944,1.94
50.444508161,30.614498034,1.80
50.444386910,30.615111683,1.84
50.444146350,30.615635250,1.95
50.443987982,30.616250313,1.97
50.443094556,30.619563539,2.02
50.443246292,30.618982009,2.09
50.443406200,30.618391950,1.98
50.443768674,30.619307198,2.26
50.444655701,30.615986752,2.15
50.442622919,30.629064075,2.78
50.442718593,30.630622765,2.45
50.441000357,30.630021758,2.00
50.440528150,30.630928450,2.04
50.440413570,30.631474186,2.06
50.440294850,30.632028050,2.06
50.440328862,30.633432109,2.01
50.439310978,30.632210739,1.98
50.439178450,30.631663750,1.97
50.439754039,30.630097295,2.05
50.439867800,30.630602550,2.04
50.437282848,30.631954762,1.27
50.444969095,30.627586172,1.61
50.445909924,30.628079140,1.84
50.446596626,30.628505946,2.12
50.446447250,30.629984100,2.04
50.436309102,30.528871199,2.43
50.435234853,30.530225200,2.56
50.493122650,30.518262505,2.68
50.494547546,30.517686913,2.32
50.495063077,30.518629765,2.63
50.494611184,30.516289793,2.48
50.495427871,30.516412198,2.48
50.495455822,30.514198594,2.48
50.494886351,30.514805634,2.53
50.494621692,30.513320051,2.51
50.492260902,30.515462092,2.32
50.491937975,30.519791958,2.27
50.492517160,30.510723201,2.56
50.491676128,30.508999118,2.51
50.491206203,30.508076458,2.30
50.492582125,30.508757943,2.47
50.495497209,30.510750272,2.50
50.436362356,30.538982783,2.18
50.436910749,30.537333121,1.92
50.436525805,30.537662207,1.99
50.435774370,30.539512253,2.24
50.436901725,30.539149614,2.22
50.436576169,30.540633706,2.44
50.435806882,30.541149039,2.12
50.437938199,30.538449668,2.48
50.437217236,30.540358910,1.90
50.436030482,30.541958341,2.15
50.436487001,30.531274294,2.48
50.437579820,30.527370796,3.42
50.437017650,30.535959500,1.80
50.434214348,30.540598770,2.09
50.433695891,30.540005826,1.70
50.463461163,30.608663161,2.88
50.459181453,30.611478032,3.07
50.462996200,30.610394150,2.16
50.460163897,30.613692767,2.48
50.451738774,30.612900259,2.17
50.452258346,30.613919216,2.10
50.450625569,30.613660925,2.16
50.450764607,30.614948540,2.04
50.451156262,30.616400325,2.15
50.451668692,30.617487840,2.13
50.452650825,30.615445341,2.11
50.452817213,30.616752375,2.13
50.451353010,30.613792359,2.39
50.452105933,30.616695007,2.14
50.493810525,30.513701880,2.25
50.449859518,30.453388254,2.21
50.504978509,30.493353668,2.73
50.494205157,30.507889192,2.45
50.436028307,30.543220441,2.32
50.435620116,30.542624109,2.23
50.435519500,30.543369550,1.75
50.434857255,30.541625875,2.03
50.434955078,30.543695395,2.38
50.434410217,30.541607430,2.07
50.434230181,30.542660902,2.17
50.436027270,30.535583764,2.13
50.434334756,30.539975446,2.24
50.438700066,30.419876947,2.30
50.519318323,30.500116013,2.59
50.519544263,30.501280319,2.32
50.521036723,30.502259391,2.53
50.512914891,30.500369551,2.79
50.520337352,30.505466443,2.50
50.520180112,30.506613735,2.23
50.518075170,30.507025534,2.32
50.513486889,30.502079988,2.51
50.515339451,30.501441339,2.63
50.516024968,30.500607102,2.77
50.515172350,30.503198532,2.23
50.448038511,30.454176086,2.54
50.446694650,30.451093851,2.49
50.445836675,30.447769299,2.53
50.447590084,30.452829331,1.88
50.443285342,30.446814210,2.51
50.447844510,30.455608882,1.80
50.447580517,30.458567859,2.35
50.449573889,30.456155299,2.48
50.434808144,30.542419497,1.74
50.435310191,30.542000298,2.37
50.434808205,30.544704600,1.67
50.499703247,30.503031000,2.37
50.499512722,30.501044783,2.56
50.499408941,30.499563046,2.44
50.443686725,30.621689957,2.19
50.444492300,30.621228050,2.31
50.444843735,30.622470838,2.23
50.444331168,30.621946102,1.94
50.443070133,30.623972664,2.21
50.444255123,30.624675843,2.23
50.443427442,30.625204942,2.32
50.443676850,30.624394750,2.01
50.443390680,30.622761537,1.77
50.458053893,30.609069104,2.38
50.523424444,30.493363250,2.81
50.523980311,30.492398078,2.42
50.524930058,30.490249331,2.43
50.525049813,30.497964726,2.65
50.439198198,30.522120565,2.48
50.525529017,30.493492620,2.54
50.525539106,30.490723518,2.55
50.525284325,30.489415478,2.35
50.523631182,30.497771183,2.76
50.522764526,30.488771095,2.19
50.523895377,30.497824151,1.90
50.524001832,30.489615558,2.38
50.523149794,30.490214627,2.38
50.522397954,30.490598192,2.15
50.521983368,30.491876262,2.73
50.521250509,30.491817812,2.33
50.520603969,30.490533686,2.73
50.521023048,30.489302294,2.15
50.519834350,30.490513900,2.31
50.519255505,30.489344559,2.73
50.519651249,30.488038588,2.15
50.518970045,30.487516363,2.26
50.522696027,30.486467859,2.35
50.522139336,30.486058125,2.43
50.521057954,30.486564576,2.27
50.518281174,30.486742341,2.26
50.518320358,30.485436902,2.90
50.518530025,30.489213504,2.34
50.522095854,30.494918120,2.24
50.522146995,30.495664863,2.24
50.522197418,30.496418859,2.26
50.521487050,30.495390550,2.11
50.519998744,30.493996834,2.56
50.521038168,30.493976660,2.34
50.521564597,30.493991388,2.07
50.521601396,30.494547338,2.12
50.522019585,30.497402579,2.27
50.518591396,30.492706532,2.63
50.519628477,30.492656999,2.46
50.520157967,30.492679631,2.01
50.520205575,30.493277895,2.15
50.518769950,30.491870600,2.24
50.518214025,30.491292753,2.43
50.517504240,30.490524708,2.53
50.517401989,30.492177894,2.50
50.516575646,30.491405529,2.50
50.520505315,30.496595502,2.55
50.519122967,30.496395380,2.54
50.517947039,30.496288786,2.37
50.517057742,30.495912495,2.44
50.516121051,30.496004842,2.51
50.516053994,30.493216941,2.21
50.515482417,30.492312515,2.50
50.515409831,30.493647719,2.22
50.514671875,30.494543928,2.28
50.514877693,30.496414767,2.61
50.514380229,30.493327219,2.61
50.499988471,30.518912438,2.35
50.498950981,30.514479256,2.53
50.498129978,30.513335413,2.15
50.497389274,30.514977917,2.69
50.437834022,30.633487857,2.31
50.444220353,30.623302259,1.98
50.445020508,30.625931695,2.37
50.496803051,30.516442322,2.52
50.492396502,30.507860362,2.67
